DATAFLOW,LAST UPDATE,freq,unit,sex,sizeclas,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,NL,2014,19.4,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,NL,2018,19.61,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,NL,2022,17.47,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,NO,2006,8.78,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,NO,2010,8.6,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,NO,2014,9.4,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,NO,2018,10.35,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,NO,2022,10.47,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PL,2006,27.98,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PL,2010,26.78,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PL,2014,25.8,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PL,2018,23.47,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PL,2022,20.49,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PT,2006,26.4,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PT,2010,22.13,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PT,2014,16.98,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PT,2018,4.69,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,PT,2022,2.83,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,RO,2006,27.9,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,RO,2010,26.18,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,RO,2014,22.02,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,RO,2018,17.8,,
ESTAT:EARN_SES_PUB1S(1.0),09/02/26 23:00:00,A,PC,F,GE10,RO,2022,22.66,,
